"fichero","seccion","linea","castellano","ingles_referencia","EUSKERA"
"copy.ts","work","355","PROYECTO PROPIO · MEDIO DIGITAL","OWN PROJECT · DIGITAL MEDIA","PROIEKTU PROPIOA · HEDABIDE DIGITALA"
"copy.ts","work","361","La economía mundial, cada día: informes de mercado, noticias y newsletter.","The global economy, every day: market reports, news and a newsletter.","Munduko ekonomia, egunero: merkatuko txostenak, albisteak eta newsletterra."
"copy.ts","SERVICIOS_INTRO","372","(SERVICIOS / 01)","(SERVICES / 01)","(ZERBITZUAK / 01)"
"copy.ts","SERVICIOS_INTRO","373","LO QUE HACEMOS","WHAT WE DO","ZER EGITEN DUGUN"
"copy.ts","SERVICIOS_INTRO","375","Un solo equipo, de principio a fin — del primer boceto al día del lanzamiento.","One team, end to end — from the first sketch to launch day.","Talde bakarra, hasieratik amaierara — lehen zirriborrotik abiarazteko egunera arte."
"copy.ts","services","401","Branding e identidad","Branding & identity","Brandinga eta identitatea"
"copy.ts","services","406","Logo, paleta y un sistema visual que hace que te recuerden.","Logo, palette and a visual system that makes you memorable.","Logoa, paleta eta gogoan hartuko zaituzten sistema bisual bat."
"copy.ts","services","412","Diseño de logos y branding en Irún, Gipuzkoa","Logo design and brand identity","Logo eta branding diseinua Irunen, Gipuzkoan"
"copy.ts","services","417","Diseño de logotipos e identidad de marca para negocios de Irún, San Sebastián y Gipuzkoa. Logo, paleta, tipografías y guía de marca. Presupuesto sin compromiso.","Logo, colour palette, typography and brand guidelines for small businesses. Remote studio based in Irún, Basque Country. Free quote, no strings attached.","Logotipoen eta marka-identitatearen diseinua Irungo, Donostiako eta Gipuzkoako negozioentzat. Logoa, paleta, tipografiak eta marka-gida. Aurrekontua konpromisorik gabe."
"copy.ts","services","428","Diseño de páginas web","Web design","Web orrien diseinua"
"copy.ts","services","430","Diseños a medida pensados para tu negocio, nunca plantillas.","Custom designs built for your business — never templates.","Zure negoziorako pentsatutako neurrirako diseinuak, inoiz ez txantiloiak."
"copy.ts","services","439","Diseño de páginas web a medida, sin plantillas","Custom web design and development — never templates","Neurrira egindako web orrien diseinua, txantiloirik gabe"
"copy.ts","services","444","Diseñamos y programamos tu web desde cero, adaptada a tu negocio: responsive, rápida y con SEO técnico desde el primer día. Estudio en Irún, Gipuzkoa.","We design and build your website from scratch, tailored to your business: responsive, fast and with technical SEO from day one. Remote studio in the Basque Country.","Zure weba hutsetik diseinatu eta programatzen dugu, zure negoziora egokituta: responsive, azkarra eta SEO teknikoarekin lehen egunetik. Estudioa Irunen, Gipuzkoan."
"copy.ts","services","455","Tiendas online","Online stores","Online dendak"
"copy.ts","services","457","E-commerce rápido y fácil de gestionar que convierte.","Fast, easy-to-manage e-commerce that converts.","Kudeatzen erraza eta azkarra den e-commerce bat, saltzen duena."
"copy.ts","services","463","Crear tienda online en Irún y Gipuzkoa | E-commerce","Online store development | E-commerce","Online denda sortu Irunen eta Gipuzkoan | E-commerce"
"copy.ts","services","468","Creamos tu tienda online: catálogo, carrito, pagos seguros y panel para gestionarla tú. Para comercios de Irún, San Sebastián y toda Gipuzkoa. Desde 99 €/mes.","We build your online store: catalogue, cart, secure payments and a panel you manage yourself. Flat rate from €99/month, no lock-in.","Zure online denda sortzen dugu: katalogoa, saskia, ordainketa seguruak eta zuk kudeatzeko panela. Irungo, Donostiako eta Gipuzkoa osoko dendentzat. 99 €/hilabetetik aurrera."
"copy.ts","services","479","Landing pages","Landing pages","Landing orriak"
"copy.ts","services","481","Páginas de campaña con un único objetivo: convertir.","Campaign pages with one single goal: converting.","Helburu bakarreko kanpaina-orriak: bihurtzea."
"copy.ts","services","487","Landing pages para campañas | Irún, Gipuzkoa","Landing pages for campaigns","Kanpainetarako landing orriak | Irun, Gipuzkoa"
"copy.ts","services","492","Páginas de campaña con un único objetivo: que te contacten. Copy persuasivo, analítica y listas en días. Para negocios de Irún, Donostia y Gipuzkoa.","Campaign pages with a single goal: getting people to contact you. Persuasive copy, analytics and live in days rather than months.","Helburu bakarreko kanpaina-orriak: zurekin harremanetan jar daitezen. Testu limurtzailea, analitika eta egun gutxitan prest. Irungo, Donostiako eta Gipuzkoako negozioentzat."
"copy.ts","services","503","UX / UI de apps","App UX / UI","Appen UX / UI"
"copy.ts","services","505","Interfaces claras para aplicaciones web y móviles.","Clear interfaces for web and mobile apps.","Interfaze argiak web eta mugikorreko aplikazioetarako."
"copy.ts","services","511","Diseño UX/UI de apps y aplicaciones web | arianet","UX/UI design for apps and web applications","Appen eta web aplikazioen UX/UI diseinua | arianet"
"copy.ts","services","516","Diseño de interfaces para aplicaciones web y móviles: flujos, sistema de diseño y prototipos navegables antes de programar. Estudio en Irún, Gipuzkoa.","Interface design for web and mobile applications: user flows, design system and clickable prototypes before a single line of code is written.","Web eta mugikorreko aplikazioetarako interfazeen diseinua: fluxuak, diseinu-sistema eta prototipo nabigagarriak programatu aurretik. Estudioa Irunen, Gipuzkoan."
"copy.ts","services","527","Aplicaciones móviles","Mobile apps","Mugikorreko aplikazioak"
"copy.ts","services","529","Apps nativas para iOS y Android, del diseño a la publicación.","Native iOS and Android apps, from design to release.","iOS eta Androiderako app natiboak, diseinutik argitalpenera."
"copy.ts","services","538","Desarrollo de apps para iOS y Android | arianet","Native iOS and Android app development","iOS eta Androiderako appen garapena | arianet"
"copy.ts","services","543","Desarrollo de aplicaciones móviles nativas para iOS y Android: diseño, programación y publicación en App Store y Google Play. Estudio en Irún, Gipuzkoa.","Native mobile app development for iOS and Android: design, build and publishing on the App Store and Google Play.","iOS eta Androiderako mugikorreko aplikazio natiboen garapena: diseinua, programazioa eta App Store eta Google Play-n argitaratzea. Estudioa Irunen, Gipuzkoan."
"copy.ts","services","554","SEO y posicionamiento","SEO","SEOa eta posizionamendua"
"copy.ts","services","556","Optimización técnica y de contenido para que te encuentren.","Technical and content optimization so people find you.","Optimizazio teknikoa eta edukiarena, aurki zaitzaten."
"copy.ts","services","562","Posicionamiento SEO en Irún y San Sebastián","SEO and search engine positioning","SEO posizionamendua Irunen eta Donostian"
"copy.ts","services","567","SEO técnico y de contenido para salir en Google cuando tu cliente te busca. Posicionamiento local para negocios de Irún, Donostia-San Sebastián y Gipuzkoa.","Technical and content SEO so you show up on Google when your customer is searching. Local positioning for small businesses.","SEO teknikoa eta edukiarena, zure bezeroak bilatzen zaituenean Googlen agertzeko. Tokiko posizionamendua Irungo, Donostiako eta Gipuzkoako negozioentzat."
"copy.ts","services","578","Mantenimiento web","Maintenance","Web mantentze-lanak"
"copy.ts","services","580","Actualizaciones, seguridad y soporte continuo.","Updates, security and ongoing support.","Eguneratzeak, segurtasuna eta etengabeko laguntza."
"copy.ts","services","586","Mantenimiento de páginas web | Irún, Gipuzkoa","Website maintenance and support","Web orrien mantentze-lanak | Irun, Gipuzkoa"
"copy.ts","services","591","Mantenimiento web mensual: actualizaciones, seguridad, copias de seguridad y soporte real. Incluido en la tarifa plana, sin permanencia. Estudio en Irún.","Monthly website maintenance: updates, security, backups and real support. Included in the flat rate, with no lock-in.","Hileroko web mantentze-lanak: eguneratzeak, segurtasuna, segurtasun-kopiak eta benetako laguntza. Tarifa lauan barne, iraunkortasunik gabe. Estudioa Irunen."
"copy.ts","serviceDetails","614","Antes de escribir una sola línea de código, definimos quién eres: el logo, los colores, la tipografía y el tono con el que hablas a tus clientes. Todo lo que viene después — la web, las redes, hasta las facturas — parte de aquí.","Before writing a single line of code, we define who you are: the logo, the colours, the type and the tone you use with your customers. Everything that comes after — the website, social media, even invoices — starts here.","Kode-lerro bakar bat idatzi aurretik, nor zaren definitzen dugu: logoa, koloreak, tipografia eta zure bezeroekin erabiltzen duzun tonua. Ondoren datorren guztia — weba, sare sozialak, fakturak ere — hemendik abiatzen da."
"copy.ts","serviceDetails","620","Logo y variantes","Logo and variants","Logoa eta aldaerak"
"copy.ts","serviceDetails","622","Tu marca en positivo, en negativo y a una sola tinta, lista para cualquier soporte.","Your mark in positive, negative and single-colour versions, ready for any medium.","Zure marka positiboan, negatiboan eta tinta bakarrean, edozein euskarritarako prest."
"copy.ts","serviceDetails","629","Paleta y tipografía","Colour palette and type","Paleta eta tipografia"
"copy.ts","serviceDetails","634","Los colores y las fuentes que te van a representar en todas partes, no solo en la web.","The colours and typefaces that represent you everywhere, not just on the website.","Nonahi ordezkatuko zaituzten koloreak eta letra-tipoak, ez soilik weban."
"copy.ts","serviceDetails","640","Mini guía de marca","Mini brand guide","Marka-gida laburra"
"copy.ts","serviceDetails","642","Un documento corto con las reglas básicas, para que quien use tu marca no la desvirtúe.","A short document with the basic rules, so anyone using your brand keeps it consistent.","Oinarrizko arauak biltzen dituen dokumentu labur bat, zure marka erabiltzen duenak desitxura ez dezan."
"copy.ts","serviceDetails","650","Aún no tenemos un caso de branding público — si quieres ser el primero, hablamos.","We don't have a public branding case yet — if you want to be the first, let's talk.","Oraindik ez dugu branding kasu publikorik — lehena izan nahi baduzu, hitz egin dezagun."
"copy.ts","serviceDetails","658","Diseñamos cada pantalla pensando en tu negocio real, no en una plantilla genérica. Estructura, jerarquía visual y texto persuasivo — todo colocado con intención.","We design every screen thinking about your actual business, not a generic template. Structure, visual hierarchy and persuasive copy — all placed with intention.","Pantaila bakoitza zure benetako negozioan pentsatuz diseinatzen dugu, ez txantiloi generiko batean. Egitura, hierarkia bisuala eta testu limurtzailea — dena asmoz jarrita."
"copy.ts","serviceDetails","664","Diseño a medida","Custom design","Neurrirako diseinua"
"copy.ts","serviceDetails","666","Cada sección pensada para tu contenido real, no rellenada con texto de relleno.","Every section designed for your real content, not filled with placeholder text.","Atal bakoitza zure benetako edukirako pentsatua, ez betegarrizko testuz betea."
"copy.ts","serviceDetails","672","100% responsive","100% responsive","% 100 responsive"
"copy.ts","serviceDetails","674","Se ve bien en el móvil de tu cliente igual que en tu portátil.","Looks good on your customer's phone just as well as on your laptop.","Zure bezeroaren mugikorrean zure ordenagailu eramangarrian bezain ondo ikusten da."
"copy.ts","serviceDetails","681","SEO técnico desde la base","Technical SEO from day one","SEO teknikoa oinarritik"
"copy.ts","serviceDetails","686","Estructura y velocidad pensadas para que Google te encuentre desde el primer día.","Structure and speed built so Google finds you from day one.","Egitura eta abiadura Googlek lehen egunetik aurki zaitzan pentsatuak."
"copy.ts","serviceDetails","702","Catálogo, carrito, pagos y gestión — todo conectado para que puedas vender desde el primer día, sin depender de nosotros para cada cambio de precio.","Catalogue, cart, payments and management — all connected so you can start selling from day one, without depending on us for every price change.","Katalogoa, saskia, ordainketak eta kudeaketa — dena konektatuta lehen egunetik saltzeko, prezio-aldaketa bakoitzerako gure mende egon gabe."
"copy.ts","serviceDetails","709","Catálogo y categorías","Catalogue and categories","Katalogoa eta kategoriak"
"copy.ts","serviceDetails","714","Organiza tus productos como tiene sentido para tus clientes, no para una plantilla.","Organise your products the way your customers expect, not the way a template dictates.","Antolatu zure produktuak zure bezeroentzat zentzuzkoa den moduan, ez txantiloi batentzat."
"copy.ts","serviceDetails","721","Pasarela de pago segura","Secure payment gateway","Ordainketa-pasabide segurua"
"copy.ts","serviceDetails","726","Cobros online con los proveedores habituales, sin que tengas que gestionar tarjetas tú mismo.","Online payments with standard providers, without you having to handle card data yourself.","Online kobrantzak ohiko hornitzaileekin, txartelak zuk zeuk kudeatu beharrik gabe."
"copy.ts","serviceDetails","733","Panel de gestión propio","Your own admin panel","Kudeaketa-panel propioa"
"copy.ts","serviceDetails","738","Añade productos, cambia precios y stock tú mismo, sin escribirnos cada vez.","Add products, change prices and stock yourself, without writing to us every time.","Gehitu produktuak, aldatu prezioak eta stocka zuk zeuk, aldiro guri idatzi gabe."
"copy.ts","serviceDetails","754","Una página, un objetivo. Ideal para campañas, lanzamientos o anuncios — lista en días, no en semanas.","One page, one goal. Ideal for campaigns, launches or ads — ready in days, not weeks.","Orri bat, helburu bat. Kanpainetarako, aurkezpenetarako edo iragarkietarako ezin hobea — egun gutxitan prest, ez asteetan."
"copy.ts","serviceDetails","760","Un solo objetivo","A single goal","Helburu bakarra"
"copy.ts","serviceDetails","762","Nada de menús ni enlaces de salida — todo empuja hacia la misma acción.","No menus or exit links — everything pushes toward the same action.","Menurik eta irteera-estekarik ez — dena ekintza berera bultzatzen du."
"copy.ts","serviceDetails","768","Copy persuasivo","Persuasive copy","Testu limurtzailea"
"copy.ts","serviceDetails","770","Texto escrito para convertir, no solo para informar.","Copy written to convert, not just to inform.","Bihurtzeko idatzitako testua, ez soilik informatzeko."
"copy.ts","serviceDetails","777","Medible desde el día uno","Measurable from day one","Neurgarria lehen egunetik"
"copy.ts","serviceDetails","782","Lista para conectar analítica y medir qué funciona de verdad.","Ready to connect analytics and measure what actually works.","Analitika konektatzeko eta zerk funtzionatzen duen benetan neurtzeko prest."
"copy.ts","serviceDetails","790","Aún no tenemos una landing propia que enseñar — muy pronto.","We don't have our own landing example to show yet — coming soon.","Oraindik ez dugu geure landing orririk erakusteko — oso laster."
"copy.ts","serviceDetails","798","Interfaces claras para aplicaciones web y móviles — desde el primer boceto hasta la pantalla final, pensando en cómo la usa alguien de verdad, no en cómo queda en una presentación.","Clear interfaces for web and mobile apps — from the first sketch to the final screen, designed around how someone actually uses it, not how it looks in a slide.","Interfaze argiak web eta mugikorreko aplikazioetarako — lehen zirriborrotik azken pantailaraino, norbaitek benetan nola erabiltzen duen pentsatuz, ez aurkezpen batean nola gelditzen den."
"copy.ts","serviceDetails","805","Flujos de principio a fin","End-to-end flows","Fluxuak hasieratik amaierara"
"copy.ts","serviceDetails","810","Cada pantalla resuelve un paso concreto del usuario, sin fricción de más.","Every screen solves one concrete user step, with no extra friction.","Pantaila bakoitzak erabiltzailearen urrats zehatz bat ebazten du, gehiegizko marruskadurarik gabe."
"copy.ts","serviceDetails","817","Sistemas de diseño reutilizables","Reusable design systems","Berrerabil daitezkeen diseinu-sistemak"
"copy.ts","serviceDetails","822","Componentes consistentes que escalan cuando la aplicación crece.","Consistent components that scale as the application grows.","Osagai koherenteak, aplikazioa hazten denean eskalatzen direnak."
"copy.ts","serviceDetails","829","Prototipos navegables","Clickable prototypes","Prototipo nabigagarriak"
"copy.ts","serviceDetails","834","Pruebas la aplicación antes de que se escriba una sola línea de código de producción.","You try the app before a single line of production code is written.","Aplikazioa probatzen duzu produkzioko kode-lerro bakar bat idatzi aurretik."
"copy.ts","serviceDetails","850","Desarrollamos aplicaciones nativas para iOS y Android: el diseño, la programación y la publicación en App Store y Google Play. A diferencia del resto de servicios, una app no entra en la tarifa plana — cada proyecto se presupuesta aparte, porque no se parece en nada al anterior.","We build native apps for iOS and Android: the design, the development and the release on the App Store and Google Play. Unlike our other services, an app does not fit the flat rate — each project is quoted separately, because no two are alike.","iOS eta Androiderako aplikazio natiboak garatzen ditugu: diseinua, programazioa eta App Store eta Google Play-n argitaratzea. Gainerako zerbitzuak ez bezala, app bat ez da tarifa lauan sartzen — proiektu bakoitza aparte aurrekontatzen da, bata ez baita bestearen antzekoa."
"copy.ts","serviceDetails","857","Nativas en las dos plataformas","Native on both platforms","Natiboak bi plataformetan"
"copy.ts","serviceDetails","862","iOS y Android desarrolladas en su lenguaje propio, no una web metida dentro de una app.","iOS and Android built in their own languages, not a website wrapped inside an app.","iOS eta Android bakoitza bere hizkuntzan garatuak, ez app baten barruan sartutako web bat."
"copy.ts","serviceDetails","869","Del boceto a la tienda","From sketch to store","Zirriborrotik dendara"
"copy.ts","serviceDetails","874","Nos encargamos también de las fichas, capturas y del proceso de revisión de Apple y Google.","We also handle store listings, screenshots and the Apple and Google review process.","Fitxak, pantaila-argazkiak eta Apple eta Googleren berrikuspen-prozesua ere gure gain hartzen ditugu."
"copy.ts","serviceDetails","881","Presupuesto cerrado antes de empezar","A closed quote before we start","Aurrekontu itxia hasi aurretik"
"copy.ts","serviceDetails","886","Analizamos qué necesita la app y te damos un precio y un plazo por escrito, sin sorpresas a mitad.","We analyse what the app needs and give you a written price and timeline, with no surprises halfway.","Appak zer behar duen aztertzen dugu eta prezioa eta epea idatziz ematen dizkizugu, erdibidean ezustekorik gabe."
"copy.ts","serviceDetails","894","Todavía no tenemos una app publicada que enseñar. Preferimos decirlo antes que rellenar esto con capturas de otro.","We don't have a published app to show yet. We'd rather say so than fill this with someone else's screenshots.","Oraindik ez dugu argitaratutako apprik erakusteko. Nahiago dugu hori esan, atal hau beste baten pantaila-argazkiz bete baino."
"copy.ts","serviceDetails","902","De poco sirve una web bonita si nadie la encuentra. Trabajamos la parte técnica y el contenido para que aparezcas cuando tu cliente te busca.","A beautiful website is not much use if nobody finds it. We work the technical side and the content so you show up when your customer searches for you.","Web polit batek ez du ezertarako balio inork aurkitzen ez badu. Alde teknikoa eta edukia lantzen ditugu, zure bezeroak bilatzen zaituenean ager zaitezen."
"copy.ts","serviceDetails","908","SEO técnico","Technical SEO","SEO teknikoa"
"copy.ts","serviceDetails","910","Velocidad, estructura y metadatos — la base que Google necesita para entenderte.","Speed, structure and metadata — the foundation Google needs to understand you.","Abiadura, egitura eta metadatuak — Googlek zu ulertzeko behar duen oinarria."
"copy.ts","serviceDetails","917","Contenido pensado para buscar","Content built for search","Bilaketarako pentsatutako edukia"
"copy.ts","serviceDetails","922","Textos escritos para las preguntas reales que hace tu cliente, no solo para sonar bien.","Copy written for the real questions your customers ask, not just to sound good.","Zure bezeroak egiten dituen benetako galderetarako idatzitako testuak, ez soilik ondo entzuteko."
"copy.ts","serviceDetails","929","Seguimiento de posiciones","Ranking tracking","Posizioen jarraipena"
"copy.ts","serviceDetails","934","Medimos si subes en Google, no solo si publicamos contenido.","We measure whether you climb in Google, not just whether content gets published.","Googlen igotzen ari zaren neurtzen dugu, ez soilik edukia argitaratzen dugun."
"copy.ts","serviceDetails","950","Una web no se acaba el día del lanzamiento. Nos encargamos de que siga funcionando, segura y actualizada — para que no tengas que pensar en ello.","A website isn't finished on launch day. We make sure it keeps running, secure and up to date — so you don't have to think about it.","Web bat ez da abiarazteko egunean amaitzen. Guk zaintzen dugu funtzionatzen jarrai dezan, segurua eta eguneratua — zuk horretan pentsatu behar ez izateko."
"copy.ts","serviceDetails","957","Actualizaciones y seguridad","Updates and security","Eguneratzeak eta segurtasuna"
"copy.ts","serviceDetails","962","Parcheamos y actualizamos por ti, sin que tengas que estar pendiente.","We patch and update on your behalf, without you needing to keep watch.","Guk adabakitzen eta eguneratzen dugu zure ordez, zu adi egon beharrik gabe."
"copy.ts","serviceDetails","968","Copias de seguridad","Backups","Segurtasun-kopiak"
"copy.ts","serviceDetails","970","Si algo falla, hay una versión anterior a la que volver.","If something breaks, there is a previous version to fall back to.","Zerbaitek huts eginez gero, aurreko bertsio batera itzul daiteke."
"copy.ts","serviceDetails","976","Soporte real","Real support","Benetako laguntza"
"copy.ts","serviceDetails","978","Nos escribes, te respondemos — no un ticket que desaparece en un buzón.","You write to us, we reply — not a ticket that disappears into an inbox.","Zuk idatzi, guk erantzun — ez postontzi batean desagertzen den txartel bat."
"copy.ts","serviceDetails","986","Es un servicio continuo, no un proyecto puntual — por eso no lleva un ejemplo cerrado.","It's an ongoing service, not a one-off project — that's why it has no single example.","Zerbitzu jarraitua da, ez proiektu puntual bat — horregatik ez du adibide itxirik."
"copy.ts","SERVICE_PAGE","995","← Volver al inicio","← Back to home","← Hasierara itzuli"
"copy.ts","SERVICE_PAGE","996","Servicios","Services","Zerbitzuak"
"copy.ts","SERVICE_PAGE","997","Qué incluye","What's included","Zer sartzen den"
