"fichero","seccion","linea","castellano","ingles_referencia","EUSKERA"
"copy.ts","HERO","247","Construimos las webs que tu competencia va a querer copiar. Branding, páginas web y tiendas online, diseñadas desde cero. Tarifa plana desde 29 €/mes, sin permanencia.","We build the websites your competitors will wish they had. Branding, websites and online stores, designed from scratch. Flat rate from €29/mo, no lock-in.",""
"copy.ts","HERO","250","EMPEZAR PROYECTO →","START A PROJECT →",""
"copy.ts","HERO","251","VER TRABAJO","SEE WORK",""
"copy.ts","heroIndex","256","BRANDING","BRANDING",""
"copy.ts","heroIndex","257","WEB","WEB",""
"copy.ts","heroIndex","258","E-COMMERCE","E-COMMERCE",""
"copy.ts","heroIndex","259","UX / UI","UX / UI",""
"copy.ts","heroIndex","260","MOBILE","MOBILE",""
"copy.ts","heroIndex","261","SEO","SEO",""
"copy.ts","marquee","266","Branding","Branding",""
"copy.ts","marquee","267","Diseño Web","Web Design",""
"copy.ts","marquee","268","E-Commerce","E-Commerce",""
"copy.ts","marquee","269","UX/UI","UX/UI",""
"copy.ts","marquee","270","Apps Móviles","Mobile Apps",""
"copy.ts","marquee","271","SEO","SEO",""
"copy.ts","marquee","272","Landing Pages","Landing Pages",""
"copy.ts","marquee","273","Mantenimiento","Maintenance",""
"copy.ts","WORK_INTRO","279","ALGUNOS PROYECTOS","SOME PROJECTS",""
"copy.ts","WORK_INTRO","281","Proyectos reales, no maquetas. Muy pronto habrá más.","Real projects, not mockups. More coming very soon.",""
"copy.ts","WORK_INTRO","284","DESLIZA PARA VER MÁS →","SWIPE TO SEE MORE →",""
"copy.ts","work","295","TIENDA ONLINE","ONLINE STORE",""
"copy.ts","work","298","Boutique de licores en Irún — recogida en tienda y verificación de edad.","A boutique liquor store in Irún — in-store pickup and age verification.",""
"copy.ts","work","305","APLICACIÓN WEB · UX/UI","WEB APP · UX/UI",""
"copy.ts","work","308","Portal a medida para un clan de Clash of Clans: login, guerras y estadísticas.","A custom portal for a Clash of Clans clan: login, wars and stats.",""
"copy.ts","work","315","PROYECTO PROPIO · SEO","OWN PROJECT · SEO",""
"copy.ts","work","318","Comparativas y guías para posicionar en buscadores. Sin cliente detrás.","Comparisons and guides built to rank in search. No client behind it.",""
"copy.ts","work","325","PROYECTO PROPIO · MEDIO DIGITAL","OWN PROJECT · DIGITAL MEDIA",""
"copy.ts","work","328","La economía mundial, cada día: informes de mercado, noticias y newsletter.","The global economy, every day: market reports, news and a newsletter.",""
"copy.ts","SERVICIOS_INTRO","339","LO QUE HACEMOS","WHAT WE DO",""
"copy.ts","SERVICIOS_INTRO","341","Un solo equipo, de principio a fin — del primer boceto al día del lanzamiento.","One team, end to end — from the first sketch to launch day.",""
"copy.ts","services","365","Branding e identidad","Branding & identity",""
"copy.ts","services","367","Logo, paleta y un sistema visual que hace que te recuerden.","Logo, palette and a visual system that makes you memorable.",""
"copy.ts","services","372","Diseño de logos y branding en Irún, Gipuzkoa","Logo design and brand identity",""
"copy.ts","services","376","Diseño de logotipos e identidad de marca para negocios de Irún, San Sebastián y Gipuzkoa. Logo, paleta, tipografías y guía de marca. Presupuesto sin compromiso.","Logo, colour palette, typography and brand guidelines for small businesses. Remote studio based in Irún, Basque Country. Free quote, no strings attached.",""
"copy.ts","services","386","Diseño de páginas web","Web design",""
"copy.ts","services","388","Diseños a medida pensados para tu negocio, nunca plantillas.","Custom designs built for your business — never templates.",""
"copy.ts","services","396","Diseño de páginas web a medida, sin plantillas","Custom web design and development — never templates",""
"copy.ts","services","400","Diseñamos y programamos tu web desde cero, adaptada a tu negocio: responsive, rápida y con SEO técnico desde el primer día. Estudio en Irún, Gipuzkoa.","We design and build your website from scratch, tailored to your business: responsive, fast and with technical SEO from day one. Remote studio in the Basque Country.",""
"copy.ts","services","410","Tiendas online","Online stores",""
"copy.ts","services","412","E-commerce rápido y fácil de gestionar que convierte.","Fast, easy-to-manage e-commerce that converts.",""
"copy.ts","services","417","Crear tienda online en Irún y Gipuzkoa | E-commerce","Online store development | E-commerce",""
"copy.ts","services","421","Creamos tu tienda online: catálogo, carrito, pagos seguros y panel para gestionarla tú. Para comercios de Irún, San Sebastián y toda Gipuzkoa. Desde 99 €/mes.","We build your online store: catalogue, cart, secure payments and a panel you manage yourself. Flat rate from €99/month, no lock-in.",""
"copy.ts","services","431","Landing pages","Landing pages",""
"copy.ts","services","433","Páginas de campaña con un único objetivo: convertir.","Campaign pages with one single goal: converting.",""
"copy.ts","services","438","Landing pages para campañas | Irún, Gipuzkoa","Landing pages for campaigns",""
"copy.ts","services","442","Páginas de campaña con un único objetivo: que te contacten. Copy persuasivo, analítica y listas en días. Para negocios de Irún, Donostia y Gipuzkoa.","Campaign pages with a single goal: getting people to contact you. Persuasive copy, analytics and live in days rather than months.",""
"copy.ts","services","452","UX / UI de apps","App UX / UI",""
"copy.ts","services","454","Interfaces claras para aplicaciones web y móviles.","Clear interfaces for web and mobile apps.",""
"copy.ts","services","459","Diseño UX/UI de apps y aplicaciones web | arianet","UX/UI design for apps and web applications",""
"copy.ts","services","463","Diseño de interfaces para aplicaciones web y móviles: flujos, sistema de diseño y prototipos navegables antes de programar. Estudio en Irún, Gipuzkoa.","Interface design for web and mobile applications: user flows, design system and clickable prototypes before a single line of code is written.",""
"copy.ts","services","473","Aplicaciones móviles","Mobile apps",""
"copy.ts","services","475","Apps nativas para iOS y Android, del diseño a la publicación.","Native iOS and Android apps, from design to release.",""
"copy.ts","services","483","Desarrollo de apps para iOS y Android | arianet","Native iOS and Android app development",""
"copy.ts","services","487","Desarrollo de aplicaciones móviles nativas para iOS y Android: diseño, programación y publicación en App Store y Google Play. Estudio en Irún, Gipuzkoa.","Native mobile app development for iOS and Android: design, build and publishing on the App Store and Google Play.",""
"copy.ts","services","497","SEO y posicionamiento","SEO",""
"copy.ts","services","499","Optimización técnica y de contenido para que te encuentren.","Technical and content optimization so people find you.",""
"copy.ts","services","504","Posicionamiento SEO en Irún y San Sebastián","SEO and search engine positioning",""
"copy.ts","services","508","SEO técnico y de contenido para salir en Google cuando tu cliente te busca. Posicionamiento local para negocios de Irún, Donostia-San Sebastián y Gipuzkoa.","Technical and content SEO so you show up on Google when your customer is searching. Local positioning for small businesses.",""
"copy.ts","services","518","Mantenimiento web","Maintenance",""
"copy.ts","services","520","Actualizaciones, seguridad y soporte continuo.","Updates, security and ongoing support.",""
"copy.ts","services","525","Mantenimiento de páginas web | Irún, Gipuzkoa","Website maintenance and support",""
"copy.ts","services","529","Mantenimiento web mensual: actualizaciones, seguridad, copias de seguridad y soporte real. Incluido en la tarifa plana, sin permanencia. Estudio en Irún.","Monthly website maintenance: updates, security, backups and real support. Included in the flat rate, with no lock-in.",""
"copy.ts","serviceDetails","551","Antes de escribir una sola línea de código, definimos quién eres: el logo, los colores, la tipografía y el tono con el que hablas a tus clientes. Todo lo que viene después — la web, las redes, hasta las facturas — parte de aquí.","Before writing a single line of code, we define who you are: the logo, the colours, the type and the tone you use with your customers. Everything that comes after — the website, social media, even invoices — starts here.",""
"copy.ts","serviceDetails","556","Logo y variantes","Logo and variants",""
"copy.ts","serviceDetails","558","Tu marca en positivo, en negativo y a una sola tinta, lista para cualquier soporte.","Your mark in positive, negative and single-colour versions, ready for any medium.",""
"copy.ts","serviceDetails","563","Paleta y tipografía","Colour palette and type",""
"copy.ts","serviceDetails","565","Los colores y las fuentes que te van a representar en todas partes, no solo en la web.","The colours and typefaces that represent you everywhere, not just on the website.",""
"copy.ts","serviceDetails","570","Mini guía de marca","Mini brand guide",""
"copy.ts","serviceDetails","572","Un documento corto con las reglas básicas, para que quien use tu marca no la desvirtúe.","A short document with the basic rules, so anyone using your brand keeps it consistent.",""
"copy.ts","serviceDetails","579","Aún no tenemos un caso de branding público — si quieres ser el primero, hablamos.","We don't have a public branding case yet — if you want to be the first, let's talk.",""
"copy.ts","serviceDetails","586","Diseñamos cada pantalla pensando en tu negocio real, no en una plantilla genérica. Estructura, jerarquía visual y texto persuasivo — todo colocado con intención.","We design every screen thinking about your actual business, not a generic template. Structure, visual hierarchy and persuasive copy — all placed with intention.",""
"copy.ts","serviceDetails","591","Diseño a medida","Custom design",""
"copy.ts","serviceDetails","593","Cada sección pensada para tu contenido real, no rellenada con texto de relleno.","Every section designed for your real content, not filled with placeholder text.",""
"copy.ts","serviceDetails","598","100% responsive","100% responsive",""
"copy.ts","serviceDetails","600","Se ve bien en el móvil de tu cliente igual que en tu portátil.","Looks good on your customer's phone just as well as on your laptop.",""
"copy.ts","serviceDetails","605","SEO técnico desde la base","Technical SEO from day one",""
"copy.ts","serviceDetails","607","Estructura y velocidad pensadas para que Google te encuentre desde el primer día.","Structure and speed built so Google finds you from day one.",""
"copy.ts","serviceDetails","622","Catálogo, carrito, pagos y gestión — todo conectado para que puedas vender desde el primer día, sin depender de nosotros para cada cambio de precio.","Catalogue, cart, payments and management — all connected so you can start selling from day one, without depending on us for every price change.",""
"copy.ts","serviceDetails","627","Catálogo y categorías","Catalogue and categories",""
"copy.ts","serviceDetails","629","Organiza tus productos como tiene sentido para tus clientes, no para una plantilla.","Organise your products the way your customers expect, not the way a template dictates.",""
"copy.ts","serviceDetails","634","Pasarela de pago segura","Secure payment gateway",""
"copy.ts","serviceDetails","636","Cobros online con los proveedores habituales, sin que tengas que gestionar tarjetas tú mismo.","Online payments with standard providers, without you having to handle card data yourself.",""
"copy.ts","serviceDetails","641","Panel de gestión propio","Your own admin panel",""
"copy.ts","serviceDetails","643","Añade productos, cambia precios y stock tú mismo, sin escribirnos cada vez.","Add products, change prices and stock yourself, without writing to us every time.",""
"copy.ts","serviceDetails","658","Una página, un objetivo. Ideal para campañas, lanzamientos o anuncios — lista en días, no en semanas.","One page, one goal. Ideal for campaigns, launches or ads — ready in days, not weeks.",""
"copy.ts","serviceDetails","663","Un solo objetivo","A single goal",""
"copy.ts","serviceDetails","665","Nada de menús ni enlaces de salida — todo empuja hacia la misma acción.","No menus or exit links — everything pushes toward the same action.",""
"copy.ts","serviceDetails","670","Copy persuasivo","Persuasive copy",""
"copy.ts","serviceDetails","672","Texto escrito para convertir, no solo para informar.","Copy written to convert, not just to inform.",""
"copy.ts","serviceDetails","677","Medible desde el día uno","Measurable from day one",""
"copy.ts","serviceDetails","679","Lista para conectar analítica y medir qué funciona de verdad.","Ready to connect analytics and measure what actually works.",""
"copy.ts","serviceDetails","686","Aún no tenemos una landing propia que enseñar — muy pronto.","We don't have our own landing example to show yet — coming soon.",""
"copy.ts","serviceDetails","693","Interfaces claras para aplicaciones web y móviles — desde el primer boceto hasta la pantalla final, pensando en cómo la usa alguien de verdad, no en cómo queda en una presentación.","Clear interfaces for web and mobile apps — from the first sketch to the final screen, designed around how someone actually uses it, not how it looks in a slide.",""
"copy.ts","serviceDetails","698","Flujos de principio a fin","End-to-end flows",""
"copy.ts","serviceDetails","700","Cada pantalla resuelve un paso concreto del usuario, sin fricción de más.","Every screen solves one concrete user step, with no extra friction.",""
"copy.ts","serviceDetails","705","Sistemas de diseño reutilizables","Reusable design systems",""
"copy.ts","serviceDetails","707","Componentes consistentes que escalan cuando la aplicación crece.","Consistent components that scale as the application grows.",""
"copy.ts","serviceDetails","712","Prototipos navegables","Clickable prototypes",""
"copy.ts","serviceDetails","714","Pruebas la aplicación antes de que se escriba una sola línea de código de producción.","You try the app before a single line of production code is written.",""
"copy.ts","serviceDetails","729","Desarrollamos aplicaciones nativas para iOS y Android: el diseño, la programación y la publicación en App Store y Google Play. A diferencia del resto de servicios, una app no entra en la tarifa plana — cada proyecto se presupuesta aparte, porque no se parece en nada al anterior.","We build native apps for iOS and Android: the design, the development and the release on the App Store and Google Play. Unlike our other services, an app does not fit the flat rate — each project is quoted separately, because no two are alike.",""
"copy.ts","serviceDetails","734","Nativas en las dos plataformas","Native on both platforms",""
"copy.ts","serviceDetails","736","iOS y Android desarrolladas en su lenguaje propio, no una web metida dentro de una app.","iOS and Android built in their own languages, not a website wrapped inside an app.",""
"copy.ts","serviceDetails","741","Del boceto a la tienda","From sketch to store",""
"copy.ts","serviceDetails","743","Nos encargamos también de las fichas, capturas y del proceso de revisión de Apple y Google.","We also handle store listings, screenshots and the Apple and Google review process.",""
"copy.ts","serviceDetails","748","Presupuesto cerrado antes de empezar","A closed quote before we start",""
"copy.ts","serviceDetails","750","Analizamos qué necesita la app y te damos un precio y un plazo por escrito, sin sorpresas a mitad.","We analyse what the app needs and give you a written price and timeline, with no surprises halfway.",""
"copy.ts","serviceDetails","757","Todavía no tenemos una app publicada que enseñar. Preferimos decirlo antes que rellenar esto con capturas de otro.","We don't have a published app to show yet. We'd rather say so than fill this with someone else's screenshots.",""
"copy.ts","serviceDetails","764","De poco sirve una web bonita si nadie la encuentra. Trabajamos la parte técnica y el contenido para que aparezcas cuando tu cliente te busca.","A beautiful website is not much use if nobody finds it. We work the technical side and the content so you show up when your customer searches for you.",""
"copy.ts","serviceDetails","769","SEO técnico","Technical SEO",""
"copy.ts","serviceDetails","771","Velocidad, estructura y metadatos — la base que Google necesita para entenderte.","Speed, structure and metadata — the foundation Google needs to understand you.",""
"copy.ts","serviceDetails","776","Contenido pensado para buscar","Content built for search",""
"copy.ts","serviceDetails","778","Textos escritos para las preguntas reales que hace tu cliente, no solo para sonar bien.","Copy written for the real questions your customers ask, not just to sound good.",""
"copy.ts","serviceDetails","783","Seguimiento de posiciones","Ranking tracking",""
"copy.ts","serviceDetails","785","Medimos si subes en Google, no solo si publicamos contenido.","We measure whether you climb in Google, not just whether content gets published.",""
"copy.ts","serviceDetails","800","Una web no se acaba el día del lanzamiento. Nos encargamos de que siga funcionando, segura y actualizada — para que no tengas que pensar en ello.","A website isn't finished on launch day. We make sure it keeps running, secure and up to date — so you don't have to think about it.",""
"copy.ts","serviceDetails","805","Actualizaciones y seguridad","Updates and security",""
"copy.ts","serviceDetails","807","Parcheamos y actualizamos por ti, sin que tengas que estar pendiente.","We patch and update on your behalf, without you needing to keep watch.",""
"copy.ts","serviceDetails","812","Copias de seguridad","Backups",""
"copy.ts","serviceDetails","814","Si algo falla, hay una versión anterior a la que volver.","If something breaks, there is a previous version to fall back to.",""
"copy.ts","serviceDetails","819","Soporte real","Real support",""
"copy.ts","serviceDetails","821","Nos escribes, te respondemos — no un ticket que desaparece en un buzón.","You write to us, we reply — not a ticket that disappears into an inbox.",""
"copy.ts","serviceDetails","828","Es un servicio continuo, no un proyecto puntual — por eso no lleva un ejemplo cerrado.","It's an ongoing service, not a one-off project — that's why it has no single example.",""
"copy.ts","SERVICE_PAGE","836","← Volver al inicio","← Back to home",""
"copy.ts","SERVICE_PAGE","837","Servicios","Services",""
"copy.ts","SERVICE_PAGE","838","Qué incluye","What's included",""
"copy.ts","SERVICE_PAGE","839","Ejemplo real","Real example",""
"copy.ts","SERVICE_PAGE","840","Ver sitio →","Visit site →",""
"copy.ts","SERVICE_PAGE","841","¿Hablamos de tu proyecto? →","Let's talk about your project →",""
"copy.ts","PROYECTOS_INTRO","847","QUÉ TE LLEVAS","WHAT YOU GET",""
"copy.ts","PROYECTOS_INTRO","849","Entregables claros, cero sorpresas — justo lo que acaba en tus manos.","Clear deliverables, zero surprises — exactly what ends up in your hands.",""
"copy.ts","packages","857","Web a medida","Custom website",""
"copy.ts","packages","859","Tu sitio diseñado desde cero, sin plantillas.","Your site designed from scratch — no templates.",""
"copy.ts","packages","863","Diseño único para tu marca","A design unique to your brand",""
"copy.ts","packages","864","100% responsive (móvil y escritorio)","100% responsive (mobile & desktop)",""
"copy.ts","packages","865","Rápida y optimizada","Fast and optimized",""
"copy.ts","packages","866","SEO básico incluido","Basic SEO included",""
"copy.ts","packages","871","Tienda online","Online store",""
"copy.ts","packages","873","Lista para empezar a vender desde el día uno.","Ready to start selling from day one.",""
"copy.ts","packages","877","Catálogo de productos","Product catalogue",""
"copy.ts","packages","878","Pasarela de pago segura","Secure payment gateway",""
"copy.ts","packages","879","Gestión fácil para ti","Easy to manage yourself",""
"copy.ts","packages","880","Pensada para convertir","Built to convert",""
"copy.ts","packages","885","Branding","Branding",""
"copy.ts","packages","887","Una identidad que hace que te recuerden.","An identity that makes you memorable.",""
"copy.ts","packages","891","Logo y marca","Logo and wordmark",""
"copy.ts","packages","892","Paleta de color y tipografías","Colour palette and type",""
"copy.ts","packages","893","Mini guía de uso","Mini brand guide",""
"copy.ts","packages","894","Coherencia en todo","Consistency everywhere",""
"copy.ts","packages","899","Landing / campaña","Landing / campaign",""
"copy.ts","packages","900","Una página, un objetivo: convertir.","One page, one goal: convert.",""
"copy.ts","packages","902","Enfocada en un solo objetivo","Focused on a single goal",""
"copy.ts","packages","903","Texto persuasivo","Persuasive copy",""
"copy.ts","packages","904","Lista en pocos días","Ready in a few days",""
"copy.ts","packages","905","Medible y optimizable","Measurable and optimizable",""
"copy.ts","MANIFIESTO","912","(MANIFIESTO)","(MANIFESTO)",""
"copy.ts","MANIFIESTO","914","No vendemos plantillas. Diseñamos cada píxel a propósito — para que tu marca no se parezca a ninguna otra.","We don't sell templates. We design every pixel on purpose — so your brand looks like nobody else's.",""
"copy.ts","commitments","921","Revisiones sin límite en el diseño","Unlimited design revisions",""
"copy.ts","commitments","922","Hasta que estés 100% contento con tu web.","Until you're 100% happy with your site.",""
"copy.ts","commitments","925","Entrega rápida","Fast delivery",""
"copy.ts","commitments","926","Plazos cortos, sin esperas eternas.","Short timelines, no endless waits.",""
"copy.ts","commitments","929","Sin permanencias","No lock-ins",""
"copy.ts","commitments","930","Ni letra pequeña. Cero sorpresas.","No fine print. Zero surprises.",""
"copy.ts","commitments","933","Dedicación total","Full dedication",""
"copy.ts","commitments","935","Trato directo y foco en tu proyecto.","Direct contact, focused on your project.",""
"copy.ts","PROCESO_INTRO","944","CÓMO TRABAJAMOS","HOW WE WORK",""
"copy.ts","steps","950","Descubrimiento","Discovery",""
"copy.ts","steps","952","Entendemos tu negocio, tu público y tus objetivos.","We understand your business, audience and goals.",""
"copy.ts","steps","958","Diseño","Design",""
"copy.ts","steps","960","Damos forma a la identidad y a cada pantalla, contigo.","We shape the identity and every screen, with you.",""
"copy.ts","steps","966","Desarrollo","Development",""
"copy.ts","steps","968","Construimos una web rápida, segura y lista para crecer.","We build a fast, secure site ready to grow.",""
"copy.ts","steps","974","Lanzamiento","Launch",""
"copy.ts","steps","976","Publicamos, medimos y te acompañamos después.","We publish, measure and support you after.",""
"copy.ts","TARIFAS_INTRO","985","TARIFAS PLANAS","FLAT-RATE PLANS",""
"copy.ts","TARIFAS_INTRO","987","Una cuota fija al mes. Hosting, SSL y mantenimiento — todo dentro. Sin facturas raras.","One fixed fee a month. Hosting, SSL and maintenance — all in. No weird invoices.",""
"copy.ts","TARIFAS_INTRO","990","DESDE","FROM",""
"copy.ts","TARIFAS_INTRO","991","/mes","/mo",""
"copy.ts","TARIFAS_INTRO","992","+ alta única","+ one-time setup",""
"copy.ts","TARIFAS_INTRO","993","Sin cuota de alta","No setup fee",""
"copy.ts","TARIFAS_INTRO","994","CAMBIOS INCLUIDOS","INCLUDED CHANGES",""
"copy.ts","TARIFAS_INTRO","995","EMPEZAR →","GET STARTED →",""
"copy.ts","TARIFAS_INTRO","996","DESLIZA PARA VER LOS PLANES →","SWIPE TO SEE THE PLANS →",""
"copy.ts","TARIFAS_INTRO","998","* Precios sin IVA. Dominio sujeto a disponibilidad y precio, pago único aparte. Cada plan incluye una alta única de puesta en marcha (ver cada tarjeta). En Tienda online y Premium, gestionar tu catálogo desde tu propio panel no cuenta como cambio; las comisiones de la pasarela de pago las cobra directamente tu proveedor de pago. Sin permanencia — cancela cuando quieras.","* Prices exclude VAT. Domain subject to availability and price, one-time payment. Each plan includes a one-time setup fee (see each card). On Online store and Premium, managing your catalogue from your own panel doesn't count as a change; payment gateway fees are charged directly by your payment provider. No lock-in — cancel whenever you want.",""
"copy.ts","plans","1015","Esencial","Essential",""
"copy.ts","plans","1020","Tu presencia online, lista y sin preocupaciones.","Your online presence, sorted and worry-free.",""
"copy.ts","plans","1024","Web de hasta 5 páginas","Website up to 5 pages",""
"copy.ts","plans","1025","Hosting + SSL incluidos","Hosting + SSL included",""
"copy.ts","plans","1026","Dominio gestionado*","Managed domain*",""
"copy.ts","plans","1027","Mantenimiento y actualizaciones","Maintenance & updates",""
"copy.ts","plans","1028","Soporte por email","Email support",""
"copy.ts","plans","1030","Hasta 2 cambios de contenido/mes","Up to 2 content changes/mo",""
"copy.ts","plans","1034","Profesional","Professional",""
"copy.ts","plans","1035","POPULAR","POPULAR",""
"copy.ts","plans","1039","Para negocios que quieren crecer en serio.","For businesses that want to grow for real.",""
"copy.ts","plans","1043","Todo lo de Esencial","Everything in Essential",""
"copy.ts","plans","1044","Hasta 15 páginas","Up to 15 pages",""
"copy.ts","plans","1045","Blog y formularios","Blog and forms",""
"copy.ts","plans","1046","SEO y velocidad optimizados","SEO & speed optimized",""
"copy.ts","plans","1047","Soporte prioritario","Priority support",""
"copy.ts","plans","1049","Hasta 5 cambios de contenido/mes","Up to 5 content changes/mo",""
"copy.ts","plans","1053","Tienda online","Online store",""
"copy.ts","plans","1058","Vende online con login, carrito y pagos.","Sell online with login, cart and payments.",""
"copy.ts","plans","1062","Todo lo de Profesional","Everything in Professional",""
"copy.ts","plans","1063","Carrito y pasarela de pago","Cart & payment gateway",""
"copy.ts","plans","1064","Login y área de clientes","Login & customer area",""
"copy.ts","plans","1065","Gestión de productos y stock","Product & stock management",""
"copy.ts","plans","1066","Integraciones a medida","Custom integrations",""
"copy.ts","plans","1069","Hasta 5 cambios de contenido/diseño al mes*","Up to 5 content/design changes a month*",""
"copy.ts","plans","1075","Premium","Premium",""
"copy.ts","plans","1076","SIN ALTA","NO SETUP FEE",""
"copy.ts","plans","1080","Para negocios que se han quedado pequeños en Tienda online.","For businesses that have outgrown Online store.",""
"copy.ts","plans","1084","Todo lo de Tienda online","Everything in Online store",""
"copy.ts","plans","1085","Catálogo de productos sin límite","Unlimited product catalogue",""
"copy.ts","plans","1087","Integraciones avanzadas (marketplaces, CRM, email marketing)","Advanced integrations (marketplaces, CRM, email marketing)",""
"copy.ts","plans","1090","Informe mensual de rendimiento","Monthly performance report",""
"copy.ts","plans","1091","Soporte prioritario por WhatsApp/teléfono","Priority WhatsApp/phone support",""
"copy.ts","plans","1092","Llamada mensual de seguimiento","Monthly check-in call",""
"copy.ts","plans","1095","Hasta 12 cambios de contenido/diseño al mes","Up to 12 content/design changes a month",""
"copy.ts","FAQ_INTRO","1104","PREGUNTAS FRECUENTES","FREQUENTLY\nASKED",""
"copy.ts","FAQ_INTRO","1106","Lo que casi todo el mundo nos pregunta antes de empezar. ¿Te queda otra duda? Escríbenos.","What almost everyone asks before starting. Still have a question? Just write to us.",""
"copy.ts","faqs","1113","¿Cuánto tarda un proyecto?","How long does a project take?",""
"copy.ts","faqs","1115","Una landing puede estar lista en pocos días; una web a medida o una tienda, entre 2 y 4 semanas según el alcance. Fijamos plazos claros antes de empezar.","A landing page can be ready in a few days; a custom site or store, 2 to 4 weeks depending on scope. We agree on clear timelines before starting.",""
"copy.ts","faqs","1120","¿Qué incluye la cuota mensual?","What's included in the monthly fee?",""
"copy.ts","faqs","1122","Hosting, certificado SSL, dominio gestionado, mantenimiento y actualizaciones. Una sola cuota fija, sin facturas sorpresa.","Hosting, SSL certificate, managed domain, maintenance and updates. One fixed fee, no surprise invoices.",""
"copy.ts","faqs","1127","¿Hay algún coste además de la cuota mensual?","Is there any cost besides the monthly fee?",""
"copy.ts","faqs","1129","Solo una alta única al empezar (entre 49€ y 129€ según el plan; gratis en Premium) que cubre la puesta en marcha. Aparte de eso, únicamente el dominio es un pago aparte si lo compramos por ti. Sin sorpresas después.","Just a one-time setup fee when you start (between €49 and €129 depending on the plan; free on Premium) that covers getting everything up and running. Beyond that, only the domain is a separate payment if we buy it for you. No surprises after that.",""
"copy.ts","faqs","1134","¿Hay permanencia?","Is there a lock-in?",""
"copy.ts","faqs","1136","Ninguna. Sin permanencias ni letra pequeña: puedes cancelar cuando quieras.","None. No lock-ins, no fine print: you can cancel whenever you want.",""
